City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Flinders,AU,-34.5833,150.8552,67.17,57,3,4.0,clear sky
80,Puerto Ayora,EC,-0.7393,-90.3518,69.55,89,77,5.01,broken clouds
81,Constitucion,CL,-35.3333,-72.4167,57.72,87,47,12.86,scattered clouds
82,Bocaiuva,BR,-17.1078,-43.815,76.71,88,14,6.15,few clouds
83,Tiksi,RU,71.6872,128.8694,-4.27,96,100,6.82,overcast clouds
84,Caravelas,BR,-17.7125,-39.2481,72.39,94,100,7.47,overcast clouds
85,Jijiang,CN,29.2906,106.2542,62.49,73,100,0.76,overcast clouds
86,Auki,SB,-8.7676,160.7034,83.55,75,84,2.68,broken clouds
87,Saint-Philippe,RE,-21.3585,55.7679,69.39,74,26,4.9,scattered clouds
88,Kapaa,US,22.0752,-159.319,82.72,72,40,14.97,scattered clouds
89,Georgetown,MY,5.4112,100.3354,78.73,99,20,2.3,light rain
90,San Quintin,MX,30.4833,-115.95,65.32,37,94,7.54,overcast clouds
91,Margate,GB,51.3813,1.3862,46.87,82,100,5.99,overcast clouds
92,Berbera,SO,10.4396,45.0143,77.74,65,4,5.08,clear sky
93,Bindura,ZW,-17.3019,31.3306,68.68,46,2,1.72,clear sky
94,Farah,AF,32.5,62.5,54.9,28,91,1.92,overcast clouds
95,Tuatapere,NZ,-46.1333,167.6833,55.26,93,100,3.65,overcast clouds
96,Arraial Do Cabo,BR,-22.9661,-42.0278,71.74,74,0,8.23,clear sky
97,Cuamba,MZ,-14.8031,36.5372,74.35,67,46,2.06,scattered clouds
98,Buraydah,SA,26.326,43.975,66.65,66,100,14.63,overcast clouds
99,Aktash,RU,50.3,87.7333,-3.87,92,99,3.15,overcast clouds
100,Port Elizabeth,ZA,-33.918,25.5701,63.1,94,75,3.44,broken clouds
101,Pak Phanang,TH,8.3511,100.202,78.82,84,100,4.7,overcast clouds
102,Boroaia,RO,47.35,26.3333,39.18,94,100,2.48,overcast clouds
103,Vila Velha,BR,-20.3297,-40.2925,73.35,80,0,13.8,clear sky
104,Cap Malheureux,MU,-19.9842,57.6142,68.47,63,15,3.0,few clouds
105,Masakin,TN,35.7292,10.5808,69.26,60,20,4.61,few clouds
106,Isangel,VU,-19.55,169.2667,86.11,84,75,5.75,broken clouds
107,Kaupanger,NO,61.1845,7.2404,35.69,53,0,5.26,clear sky
108,Mayo,US,38.8876,-76.5119,41.07,60,0,13.8,clear sky
109,Airai,TL,-8.9266,125.4092,71.76,59,78,0.92,broken clouds
110,San Cristobal,VE,7.7669,-72.225,73.58,97,73,2.1,broken clouds
111,Cayenne,GF,4.9333,-52.3333,78.84,83,0,3.44,clear sky
112,Douglas,US,41.3,-96.167,29.39,57,100,11.5,overcast clouds
113,Souillac,MU,-20.5167,57.5167,61.18,88,20,6.91,few clouds
114,Antequera,ES,37.0194,-4.5612,62.76,92,95,5.57,overcast clouds
115,Bredasdorp,ZA,-34.5322,20.0403,59.43,63,100,0.69,overcast clouds
116,Millinocket,US,45.6573,-68.7098,29.41,74,20,5.75,few clouds
117,Provideniya,RU,64.3833,-173.3,33.91,93,100,15.99,fog
118,Sarankhola,BD,22.3082,89.7897,62.46,73,0,5.7,clear sky
119,Udachnyy,RU,66.4167,112.4,-28.08,99,93,3.44,overcast clouds
120,Camacha,PT,33.0833,-16.3333,65.62,77,40,8.05,scattered clouds
121,Aklavik,CA,68.2191,-135.0107,8.6,85,40,4.61,scattered clouds
122,Thompson,CA,55.7435,-97.8558,3.36,78,75,10.36,broken clouds
123,Chaohu,CN,31.6,117.8667,57.97,89,100,8.05,overcast clouds
124,Hoi An,VN,15.8794,108.335,78.76,88,73,3.83,broken clouds
125,Tasiilaq,GL,65.6145,-37.6368,33.96,77,88,5.12,overcast clouds
126,Bella Vista,US,36.4295,-94.2316,49.1,38,75,6.91,broken clouds
127,Takapau,NZ,-40.0333,176.35,69.73,85,81,7.56,broken clouds
128,Hasaki,JP,35.7333,140.8333,58.21,56,91,13.29,overcast clouds
129,Jishou,CN,28.3167,109.7167,53.89,94,95,2.28,overcast clouds
130,Stolac,BA,43.0844,17.9575,53.38,80,28,4.9,scattered clouds
131,Malatya,TR,38.5,38.0,35.65,100,40,6.91,scattered clouds
132,Belaya Gora,RU,68.5333,146.4167,-15.14,96,100,4.03,overcast clouds
133,Honningsvag,NO,70.9821,25.9704,38.95,87,100,8.05,overcast clouds
134,Brattleboro,US,42.8509,-72.5579,36.73,69,36,1.01,scattered clouds
135,Richards Bay,ZA,-28.783,32.0377,71.64,95,100,2.17,light rain
136,Sao Filipe,CV,14.8961,-24.4956,78.93,73,100,2.42,overcast clouds
137,Maceio,BR,-9.6658,-35.7353,74.64,94,20,6.91,few clouds
138,Carnarvon,AU,-24.8667,113.6333,65.44,61,100,18.19,overcast clouds
139,Bethel,US,41.3712,-73.414,41.31,60,20,11.5,few clouds
140,Yulara,AU,-25.2406,130.9889,81.12,52,2,16.58,clear sky
141,Ballina,AU,-28.8667,153.5667,70.79,65,4,6.87,clear sky
142,Tornio,FI,65.8481,24.1466,24.82,95,68,4.9,broken clouds
143,Mantua,IT,45.1667,10.7833,52.99,91,98,3.94,overcast clouds
144,Ponta Do Sol,PT,32.6667,-17.1,68.72,74,52,5.23,broken clouds
145,Esperance,AU,-33.8667,121.9,58.46,62,68,13.15,broken clouds
146,Neiafu,TO,-18.65,-173.9833,83.08,78,20,6.91,few clouds
147,Coquimbo,CL,-29.9533,-71.3436,60.53,82,20,11.5,few clouds
148,Okhotsk,RU,59.3833,143.3,-3.26,75,1,11.99,clear sky
149,Svobodnyy,RU,51.4,128.1333,18.32,96,97,4.56,overcast clouds
150,Aripuana,BR,-9.1667,-60.6333,73.99,89,99,1.43,overcast clouds
151,Salalah,OM,17.0151,54.0924,74.89,76,17,2.39,few clouds
152,Shache,CN,38.4167,77.2406,37.51,24,48,4.47,scattered clouds
153,San Patricio,US,28.017,-97.5169,55.83,55,100,7.0,overcast clouds
154,Dikson,RU,73.5069,80.5464,1.81,95,100,18.5,light snow
155,Voh,NC,-20.9667,164.7,84.22,56,97,6.62,overcast clouds
156,Klaksvik,FO,62.2266,-6.589,47.32,82,100,34.27,light rain
157,Padang,ID,-0.9492,100.3543,73.45,86,100,3.6,overcast clouds
158,Dingle,PH,10.9995,122.6711,78.15,90,100,10.98,light rain
159,Gubkin,RU,51.2817,37.5458,26.1,95,100,10.51,overcast clouds
160,Port Lincoln,AU,-34.7333,135.8667,66.85,50,100,16.73,moderate rain
161,Nijar,ES,36.9665,-2.206,61.65,77,0,18.41,clear sky
162,Hirara,JP,24.8,125.2833,75.47,94,20,3.44,few clouds
163,Mount Isa,AU,-20.7333,139.5,83.97,23,23,10.36,few clouds
164,East London,ZA,-33.0153,27.9116,66.11,89,100,1.41,light rain
165,Touros,BR,-5.1989,-35.4608,78.57,73,31,14.29,scattered clouds
166,Luanda,AO,-8.8368,13.2343,77.0,83,20,5.75,few clouds
167,Chokurdakh,RU,70.6333,147.9167,-11.02,97,99,5.28,overcast clouds
168,Pinega,RU,64.7001,43.3936,22.23,93,100,8.25,overcast clouds
169,South Sioux City,US,42.4739,-96.4136,24.75,62,75,25.32,broken clouds
170,Kimberley,ZA,-28.7323,24.7623,60.49,51,1,3.44,clear sky
171,Chimbote,PE,-9.0853,-78.5783,63.01,88,36,7.63,scattered clouds
172,Birao,CF,10.2849,22.7882,69.01,31,56,5.26,broken clouds
173,Zhigansk,RU,66.7697,123.3711,-9.58,98,100,10.22,overcast clouds
174,Hambantota,LK,6.1241,81.1185,76.82,81,93,2.04,overcast clouds
175,Kruisfontein,ZA,-34.0033,24.7314,60.89,78,100,2.17,overcast clouds
176,Quatre Cocos,MU,-20.2078,57.7625,68.09,63,4,4.25,clear sky
177,Akhmim,EG,26.5622,31.745,62.8,51,100,6.44,overcast clouds
178,Ganzhou,CN,28.8184,115.4327,59.79,83,90,2.84,overcast clouds
179,Aleksandrovka,UA,46.8383,32.7612,40.23,85,100,13.02,overcast clouds
180,Sheridan,US,44.8333,-106.9173,14.38,73,0,18.41,clear sky
181,Ribeira Brava,PT,32.65,-17.0667,68.72,76,47,5.93,scattered clouds
182,Kaitangata,NZ,-46.2817,169.8464,58.28,76,100,6.06,overcast clouds
183,Olafsvik,IS,64.8945,-23.7142,44.76,85,55,15.59,broken clouds
184,Buala,SB,-8.145,159.5921,84.25,72,95,4.38,light rain
185,New Norfolk,AU,-42.7826,147.0587,63.72,58,8,1.01,clear sky
186,Alice Springs,AU,-23.7,133.8833,74.75,60,100,12.66,overcast clouds
